"anti","anti"
"caking","caking"
"e342","e342"
"342","342"
"monoammonium","monoammonium"
"diammonium","diammonium"
"e343","e343"
"343","343"
"monomagnesium","monomagnesium"
"dimagnesium","dimagnesium"
"e344","e344"
"344","344"
"lecitin","lecitin"
"e345","e345"
"345","345"
"e349","e349"
"349","349"
"malate","malate"
"e350","e350"
"350","350"
"malates","malates"
"e351","e351"
"351","351"
"e352","e352"
"352","352"
"e353","e353"
"353","353"
"metatartaric","metatartaric"
"e354","e354"
"354","354"
"e355","e355"
"355","355"
"adipic","adipic"
"e356","e356"
"356","356"
"adipate","adipate"
"e357","e357"
"357","357"
"e359","e359"
"359","359"
"e363","e363"
"363","363"
"succinic","succinic"
"e365","e365"
"365","365"
"fumarate","fumarate"
"e366","e366"
"366","366"
"e367","e367"
"367","367"
"e368","e368"
"368","368"
"e370","e370"
"370","370"
"heptonolactone","heptonolactone"
"e380","e380"
"380","380"
"triammonium","triammonium"
"e381","e381"
"381","381"
"ferric","ferric"
"e383","e383"
"383","383"
"glycerylphosphate","glycerylphosphate"
"e384","e384"
"384","384"
"isopropyl","isopropyl"
"e385","e385"
"385","385"
"ethylene","ethylene"
"diamine","diamine"
"tetraacetate","tetraacetate"
"edta","edta"
"e386","e386"
"386","386"
"e387","e387"
"387","387"
"oxystearin","oxystearin"
"stabiliser","stabiliser"
"e388","e388"
"388","388"
"thiodipropionic","thiodipropionic"
"e389","e389"
"389","389"
"dilauryl","dilauryl"
"thiodipropionate","thiodipropionate"
"e390","e390"
"390","390"
"distearyl","distearyl"
"e391","e391"
"391","391"
"phytic","phytic"
"e392","e392"
"392","392"
"extracts","extracts"
"rosemary","rosemary"
"e399","e399"
"399","399"
"lactobionate","lactobionate"
"e400","e400"
"400","400"
"alginic","alginic"
"thickener","thickener"
"gelling","gelling"
"e401","e401"
"401","401"
"alginate","alginate"
"e402","e402"
"402","402"
"e403","e403"
"403","403"
"e404","e404"
"404","404"
"e405","e405"
"405","405"
"propane","propane"
"diol","diol"
"propylene","propylene"
"glycol","glycol"
"e406","e406"
"406","406"
"agar","agar"
"e407","e407"
"407","407"
"carrageenan","carrageenan"
"e407a","e407a"
"407a","407a"
"processed","processed"
"eucheuma","eucheuma"
"seaweed","seaweed"
"e408","e408"
"408","408"
"bakers","bakers"
"yeast","yeast"
"glycan","glycan"
"e409","e409"
"409","409"
"arabinogalactan","arabinogalactan"
"e410","e410"
"410","410"
"locust","locust"
"bean","bean"
"gum","gum"
"carob","carob"
"e411","e411"
"411","411"
"oat","oat"
"e412","e412"
"412","412"
"guar","guar"
"e413","e413"
"413","413"
"tragacanth","tragacanth"
"e414","e414"
"414","414"
"acacia","acacia"
"arabic","arabic"
"e415","e415"
"415","415"
"xanthan","xanthan"
"e416","e416"
"416","416"
"karaya","karaya"
"e417","e417"
"417","417"
"tara","tara"
"e418","e418"
"418","418"
"gellan","gellan"
"e419","e419"
"419","419"
"ghatti","ghatti"
"e420","e420"
"420","420"
"sorbitol","sorbitol"
"syrup","syrup"
"sweetener","sweetener"
"humectant","humectant"
"e421","e421"
"421","421"
"mannitol","mannitol"
"e422","e422"
"422","422"
"glycerol","glycerol"
"e424","e424"
"424","424"
"curdlan","curdlan"
"e425","e425"
"425","425"
"konjac","konjac"
"glucomannane","glucomannane"
"e426","e426"
"426","426"
"soybean","soybean"
"hemicellulose","hemicellulose"
"e427","e427"
"427","427"
"cassia","cassia"
"e429","e429"
"429","429"
"peptones","peptones"
"e430","e430"
"430","430"
"polyoxyethene","polyoxyethene"
"e431","e431"
"431","431"
"e432","e432"
"432","432"
"20","20"
"sorbitan","sorbitan"
"monolaurate","monolaurate"
"polysorbate","polysorbate"
"e433","e433"
"433","433"
"monooleate","monooleate"
"80","80"
"e434","e434"
"434","434"
"monopalmitate","monopalmitate"
"e435","e435"
"435","435"
"monostearate","monostearate"
"60","60"
"e436","e436"
"436","436"
"tristearate","tristearate"
"65","65"
"e440","e440"
"440","440"
"pectins","pectins"
"pectin","pectin"
"amidated","amidated"
"e441","e441"
"441","441"
"gelatine","gelatine"
"e442","e442"
"442","442"
"phosphatides","phosphatides"
"e443","e443"
"443","443"
"brominated","brominated"
"oil","oil"
"e444","e444"
"444","444"
"sucrose","sucrose"
"isobutyrate","isobutyrate"
"e445","e445"
"445","445"
"wood","wood"
"rosins","rosins"
"e446","e446"
"446","446"
"succistearin","succistearin"
"e450","e450"
"450","450"
"diphosphates","diphosphates"
"diphosphate","diphosphate"
"tetrasodium","tetrasodium"
"iv","iv"
"tetrapotassium","tetrapotassium"
"vi","vi"
"vii","vii"
"dihydrogen","dihydrogen"
"e451","e451"
"451","451"
"triphosphates","triphosphates"
"triphosphate","triphosphate"
"pentasodium","pentasodium"
"pentapotassium","pentapotassium"
"e452","e452"
"452","452"
"polyphosphates","polyphosphates"
"polyphosphate","polyphosphate"
"e459","e459"
"459","459"
"cyclodextrin","cyclodextrin"
"e460","e460"
"460","460"
"cellulose","cellulose"
"microcrystalline","microcrystalline"
"powdered","powdered"
"e461","e461"
"461","461"
"e462","e462"
"462","462"
"e463","e463"
"463","463"
"hydroxypropyl","hydroxypropyl"
"e464","e464"
"464","464"
"hypromellose","hypromellose"
"methylcellulose","methylcellulose"
"e465","e465"
"465","465"
"e466","e466"
"466","466"
"carboxymethyl","carboxymethyl"
"e467","e467"
"467","467"
"hydroxyethyl","hydroxyethyl"
"e468","e468"
"468","468"
"crosslinked","crosslinked"
"croscarmellose","croscarmellose"
"e469","e469"
"469","469"
"enzymically","enzymically"
"hydrolysed","hydrolysed"
"carboxymethylcellulose","carboxymethylcellulose"
"e470","e470"
"e470a","e470a"
"470","470"
"470a","470a"
"salts","salts"
"acids","acids"
"e470b","e470b"
"470b","470b"
"e471","e471"
"471","471"
"mono","mono"
"diglycerides","diglycerides"
"glyceryl","glyceryl"
"distearate","distearate"
"e472","e472"
"e472a","e472a"
"472","472"
"472a","472a"
"e472b","e472b"
"472b","472b"
"e472c","e472c"
"472c","472c"
"e472d","e472d"
"472d","472d"
